reaction	reactant	product	type
R04764	C05301	C05302	kegg
R04829	C05470	C05469	kegg
R04830	C05469	C05470	kegg
R04831	C05481	C05470	kegg
R04832	C05472	C05471	kegg
R04833	C05472	C05471	kegg
R04834	C05482	C05472	kegg
R04835	C05474	C05473	kegg
R04836	C05474	C05473	kegg
R04837	C05476	C05475	kegg
R04838	C05476	C05475	kegg
R04840	C05476	C05478	kegg
R04842	C05478	C05477	kegg
R04843	C05478	C05477	kegg
R04844	C05483	C05478	kegg
R04847	C05484	C05480	kegg
R04849	C05488	C05487	kegg
R04850	C05487	C05489	kegg
R04853	C05500	C05499	kegg
R04854	C05500	C05501	kegg
R04855	C05502	C05501	kegg
R08517	C05138	C01227	kegg
R08518	C01176	C00280	kegg
R08941	C00187	C18043	kegg
R08941	C00059	C18043	kegg
R08942	C01953	C18044	kegg
R08942	C00059	C18044	kegg
R08943	C01953	C18038	kegg
R08945	C18075	C05284	kegg
R08953	C01780	C18039	kegg
R08954	C03205	C18040	kegg
R08955	C18040	C13713	kegg
R08958	C18041	C03681	kegg
R08961	C01227	C18045	kegg
R08963	C03917	C03852	kegg
R08977	C00187	C18043	kegg
R08977	C00187	C00054	kegg
R08977	C00053	C18043	kegg
R08977	C00053	C00054	kegg
R08978	C01953	C18044	kegg
R08978	C01953	C00054	kegg
R08978	C00053	C18044	kegg
R08978	C00053	C00054	kegg
R08980	C18075	C05284	kegg
R08994	C05490	C05477	kegg
R08995	C00735	C05284	kegg
R10242	C00674	C00280	kegg
R00005	C01010	C00014	kegg
R00131	C00086	C00014	kegg
R00149	C00014	C00169	kegg
R00150	C00288	C00169	kegg
R00243	C00025	C00026	kegg
R00248	C00025	C00026	kegg
R00253	C00025	C00064	kegg
R00256	C00064	C00025	kegg
R00258	C00041	C00022	kegg
R00259	C00024	C00624	kegg
R00355	C00049	C00036	kegg
R00551	C00062	C00077	kegg
R00551	C00062	C00086	kegg
R00552	C00062	C00327	kegg
R00557	C00062	C00533	kegg
R00557	C00062	C00327	kegg
R00669	C00437	C00077	kegg
R00774	C00086	C01010	kegg
R00774	C00288	C01010	kegg
R01086	C03406	C00122	kegg
R01086	C03406	C00062	kegg
R01398	C00169	C00327	kegg
R01398	C00077	C00327	kegg
R01954	C00327	C03406	kegg
R01954	C00049	C03406	kegg
R02282	C00437	C00077	kegg
R02282	C00437	C00624	kegg
R02283	C00437	C01250	kegg
R02649	C00624	C04133	kegg
R03443	C01250	C04133	kegg
R07245	C00169	C15532	kegg
R07245	C00437	C15532	kegg
R09107	C15532	C00327	kegg
R11711	C00062	C00327	kegg
R11711	C00062	C00533	kegg
R00086	C00002	C00008	kegg
R00087	C00002	C00020	kegg
R00089	C00002	C00575	kegg
R00122	C00008	C00020	kegg
R00124	C00008	C00008	kegg
R00125	C01260	C00008	kegg
R00126	C00008	C01260	kegg
R00127	C00020	C00008	kegg
R00128	C03483	C00009	kegg
R00181	C00020	C00130	kegg
R00182	C00020	C00147	kegg
R00183	C00020	C00212	kegg
R00184	C01260	C00020	kegg
R00185	C00212	C00020	kegg
R00187	C06197	C00020	kegg
R00190	C00020	C00147	kegg
R00191	C00575	C00020	kegg
R00322	C05993	C00033	kegg
R00328	C00035	C00144	kegg
R00330	C00035	C00044	kegg
R00332	C00144	C00035	kegg
R00335	C00044	C00035	kegg
R00336	C01228	C00035	kegg
R00426	C00044	C00144	kegg
R00429	C00044	C04494	kegg
R00430	C00044	C00035	kegg
R00430	C00044	C00074	kegg
R00434	C00044	C00942	kegg
R00469	C00603	C00048	kegg
R00507	C00053	C00059	kegg
R00507	C00053	C00054	kegg
R00509	C00224	C00053	kegg
R00529	C00059	C00224	kegg
R00719	C00081	C00104	kegg
R00720	C00081	C00130	kegg
R00722	C00104	C00081	kegg
R00723	C03614	C00081	kegg
R00776	C00603	C00048	kegg
R00776	C00603	C00086	kegg
R00961	C00104	C00130	kegg
R01053	C00117	C03090	kegg
R01054	C00301	C00117	kegg
R01072	C03090	C00119	kegg
R01083	C03794	C00122	kegg
R01126	C00130	C00294	kegg
R01127	C00130	C04734	kegg
R01128	C00130	C00262	kegg
R01128	C00130	C00117	kegg
R01130	C00130	C00655	kegg
R01131	C00294	C00130	kegg
R01132	C00130	C00262	kegg
